fips,stateabb,subcat,subgroup,gradecenter,gap,tot_asmts_mth,tot_asmts_rla,cellcount_mth,cellcount_rla,mn_asmts_mth,mn_asmts_rla,gcs_mn_avg_mth_ol,gcs_mn_grd_mth_ol,gcs_mn_coh_mth_ol,gcs_mn_avg_rla_ol,gcs_mn_grd_rla_ol,gcs_mn_coh_rla_ol,gcs_mn_avg_mth_ol_se,gcs_mn_grd_mth_ol_se,gcs_mn_coh_mth_ol_se,gcs_mn_avg_rla_ol_se,gcs_mn_grd_rla_ol_se,gcs_mn_coh_rla_ol_se,gcs_mn_avg_mth_eb,gcs_mn_grd_mth_eb,gcs_mn_coh_mth_eb,gcs_mn_avg_rla_eb,gcs_mn_grd_rla_eb,gcs_mn_coh_rla_eb,gcs_mn_avg_mth_eb_se,gcs_mn_grd_mth_eb_se,gcs_mn_coh_mth_eb_se,gcs_mn_avg_rla_eb_se,gcs_mn_grd_rla_eb_se,gcs_mn_coh_rla_eb_se
1,AL,all,all,5.5,0,3391534,3391554,60,60,56525.56666666667,56525.9,4.471718714700844,0.8933096046523309,0.0110378789127067,5.122493967997396,0.8893176913268016,-0.0071778890153161,0.0156435921008732,0.0113843891497497,0.005462425886436,0.0159796661052266,0.0114277523162061,0.0055156223953631,4.474606616965712,0.8905691675336433,0.0098131201951821,5.120196682197302,0.8945362743418923,-0.0040053585845464,0.015595324349278,0.0108796074777149,0.0053508154016842,0.0159305998988203,0.0110281298200289,0.0052934489500048
1,AL,race,asn,5.5,0,48256,44856,60,57,804.2666666666667,786.9473684210526,7.227136051276559,1.270525878877133,0.0675939399914079,7.07551541694408,0.9508306819227421,0.0104151246209462,0.0358256608143548,0.0248646577192718,0.0124146095149994,0.0375561756948273,0.024523485203784,0.0126879882622572,7.242343647357329,1.234142654936447,0.0568492612533561,7.059938361074503,0.9836572400277607,0.0202045451718777,0.0352473080156101,0.0214538237694192,0.0114774917371295,0.0371080224373552,0.021577926206663,0.0120685790547006
1,AL,race,blk,5.5,0,1128159,1129552,60,60,18802.65,18825.86666666666,3.195138965569048,0.7350913773619506,-0.0230339808711606,3.773597967507831,0.8768572504335217,-0.0186324306281093,0.0218742286559656,0.0154741279964379,0.0076311993999893,0.0221605753882605,0.0155429398755238,0.0076845757837853,3.199179181301201,0.7351025127671816,-0.0240023137149818,3.770328294910865,0.8817659432167255,-0.0169997648748804,0.0217403019062772,0.0144214190759322,0.0073851584135337,0.0220324433593293,0.0146870530358389,0.0073361511883039
1,AL,ecd,ecd,5.5,0,1806197,1807002,54,54,33448.09259259259,33463,3.59420154588584,0.79537835294771,0.0080155026125602,4.134628326342079,0.871209886421708,-0.0058519482149986,0.0233273519033308,0.0164110329340565,0.0080195577886333,0.0236029641025872,0.0164648277584889,0.0080707230982791,3.598538591879059,0.7947055442540341,0.0057342359743372,4.133294238840736,0.877002029961125,-0.0013822434643467,0.0231880341645601,0.0147381099857855,0.0077404570471603,0.0234307964709155,0.0155504609241459,0.0076070908939084
1,AL,gender,fem,5.5,0,1484002,1483921,54,54,27481.51851851852,27480.01851851852,4.63391160322816,0.9185845233233144,0.0088219414222559,5.540187956511295,0.921385898335302,-0.011863149537151,0.0189339360211436,0.0135222039228905,0.0068172285384183,0.0193064326273284,0.0136199613339327,0.0068808647557601,4.638142945659752,0.9136118562485369,0.0076783986755983,5.535699198447232,0.9306427825647597,-0.0077193106760707,0.0188218762382511,0.0125589894031561,0.0066252450148291,0.0192080821760446,0.0128068356794611,0.0066118772446089
1,AL,race,hsp,5.5,0,191652,186167,59,58,3248.338983050848,3209.775862068966,3.836142334909558,0.8616619853544303,-0.0081472962890493,3.987433311754073,0.9578771955908862,-0.0497071260641098,0.0238205495006735,0.0168318505399117,0.0082367842242905,0.0246401327692696,0.0171187392256829,0.0084155207011051,3.839843745281645,0.8578620823871098,-0.0114022128214218,3.98726547760228,0.9637774228731317,-0.0430362743304181,0.0236827763824143,0.0152881735572713,0.0080198814215929,0.0244994398428782,0.0160619121094686,0.008129887201886
1,AL,gender,mal,5.5,0,1561673,1561859,54,54,28919.87037037037,28923.31481481481,4.32117146429302,0.8528082034292588,0.0092486891703098,4.715463142445368,0.8605386142062516,-0.0064955246580213,0.019631750536144,0.0139835822202519,0.0070681217289594,0.0199456088311664,0.0140669311235016,0.0071181334885956,4.325923613753193,0.8506116208829815,0.0080167350568002,4.710570532256852,0.865878647195391,-0.0034314940391371,0.0195256881462034,0.0132242087232908,0.006886846863654,0.0198488748584106,0.0135460159849321,0.0067420802016992
1,AL,gender,mfg,5.5,1,3045675,3045780,54,54,56401.38888888889,56403.33333333334,-0.3110022641712334,-0.0667921545018726,7.63264165728e-4,-0.821385440402313,-0.0620713855396854,0.0055289637852652,0.0209493516982595,0.0153545491934759,0.0075716028701122,0.0215760045514744,0.0154804450730728,0.0076591599433176,-0.3004915699469323,-0.0804387024388909,-9.189059621853e-4,-0.8291412451096467,-0.0547365881675672,0.0045916080779431,0.0203809839344842,0.0095865144287367,0.0063164466024027,0.021045487125921,0.013377741044763,0.0073500814652674
1,AL,race,mtr,5.5,0,56488,56279,48,48,1176.833333333333,1172.479166666667,4.11845332305361,1.00137721056018,0.1782952549877911,4.886293496792606,1.016121608519449,0.1515580627407549,0.0301991893135645,0.0193245731880512,0.0118292585887857,0.0322798360099829,0.0201334309383419,0.0126360836431131,4.13156425090069,0.9851798683971783,0.1708384678690519,4.882093007376078,1.034771832191974,0.1545363732901985,0.0295116374612346,0.0160155116681486,0.0108012118309187,0.0311561515636997,0.0158719427587236,0.0111238177443469
1,AL,race,nam,5.5,0,30099,30108,60,60,501.65,501.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,AL,ecd,nec,5.5,0,1378906,1378534,60,60,22981.76666666667,22975.56666666667,5.752577076221614,0.9923598265762013,0.0225175408660949,6.635541856274255,0.8094640396786602,-0.0357790946354804,0.0207875231610003,0.0147379636512908,0.0072432070976568,0.0213148697709984,0.0149238954408666,0.0073584031791877,5.758736958926622,0.9847600956501882,0.0196322687627054,6.63061256288917,0.8212766714490347,-0.0309953491811597,0.0206843143270328,0.0136983718294592,0.0070426503103337,0.0212000171045305,0.013916180153445,0.0071122830357338
1,AL,ecd,neg,5.5,1,3039675,3040586,54,54,56290.27777777778,56307.14814814815,2.1787889629413,0.212922330551217,0.0198855277366549,2.536922041193654,-0.0653473576820081,-0.0232183145592971,0.0184447396806018,0.0139783751129653,0.0063307560542167,0.0194775623751452,0.0142107104632854,0.00650794336015,2.185189885892804,0.1944830077629484,0.0191419005963442,2.52836300658473,-0.0548270243053573,-0.0233910505609647,0.0181892328135994,0.0116492399433457,0.0059927436261106,0.0191791525659255,0.0128715817231427,0.0061943394302003
1,AL,race,wag,5.5,1,1979285,1885565,60,57,32988.08333333334,33080.08771929824,-1.983515834919581,-0.2938820150967272,-0.0332508353896139,-1.02526567368542,-0.0867701396732739,-0.020482360397175,0.0357717301957551,0.0251495354251205,0.0124245065322448,0.0378475875051633,0.0248828867754685,0.0127177176219754,-1.983646295476775,-0.2719279184120481,-0.0285541311419063,-1.023998252394985,-0.1005708764540211,-0.0250328531859933,0.0348641162583063,0.0175485753615004,0.0113335070574684,0.0367466589834853,0.0184668210123731,0.0119055477974981
1,AL,race,wbg,5.5,1,3059188,3062724,60,60,50986.46666666667,51045.4,2.052036032963007,0.2490283364664897,0.0576803578142018,2.295966651282099,-0.0192777906584741,0.0102808743799296,0.020177469998845,0.0149025208041471,0.0070557355763092,0.020862790734502,0.0150399666046093,0.0071725192860632,2.058956836673651,0.234177124674289,0.0554878732429097,2.288894642397864,-0.0063996523329632,0.0122926460003425,0.0199974671038371,0.0135061962964213,0.0067244129426495,0.020634332785345,0.0131245506257586,0.0068354157369578
1,AL,race,whg,5.5,1,2090188,2055816,59,58,35426.91525423729,35445.10344827586,1.412392407286354,0.1200813882277661,0.0436170015781495,2.087497947019547,-0.1001008239076347,0.0414573381240516,0.0202079595515545,0.0149867200365965,0.0069975162567319,0.0215430117072316,0.0154137967167202,0.0072813500772701,1.416312695939404,0.1088568964949961,0.0448354403282622,2.081399625625728,-0.0883363159618605,0.0385113673156231,0.0200689362375469,0.0127480204561953,0.0066089941070149,0.021411851372589,0.0138158560725001,0.0070203089765405
1,AL,race,wht,5.5,0,1931029,1933172,60,60,32183.81666666667,32219.53333333333,5.247244048555507,0.9804175084881783,0.0332978381287841,6.063800157285008,0.8598548647777159,-0.0096420903194536,0.015757709229626,0.0114653278084138,0.0055034680410884,0.01623086146526,0.0115768021131041,0.00559313123599,5.250850289844943,0.9760544307779321,0.0316051591035113,6.06030326425293,0.8671005012631307,-0.0063363298824914,0.0157138510166122,0.0110067999851883,0.0054076663373813,0.0161873522551284,0.0111703237659581,0.0053460411976451
1,AL,race,wmg,5.5,1,1581490,1583098,48,48,32947.70833333334,32981.20833333334,1.161012931226682,-0.0499026779296455,-0.1575156049877055,1.257048832910283,-0.1806063079149917,-0.1963139279526628,0.0292807150457628,0.0228972038877718,0.0116087229909041,0.0319805812501837,0.0240153248321057,0.0124476442042751,1.141145350901035,-0.0283858040520698,-0.1448704985855911,1.238037357658065,-0.1527638509561554,-0.1879758585966294,0.0250517099782185,0.009981960746282,0.0080978745087776,0.0286466564831604,0.0127553349162219,0.0099307730375393
1,AL,race,wng,5.5,1,1961128,1963280,60,60,32685.46666666667,32721.33333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,AK,all,all,5.5,0,374015,373667,42,42,8905.119047619048,8896.833333333334,5.287547422384782,1.060854267322221,-0.0206406581317538,4.941498888125452,1.181201427120256,0.0430110936197434,0.023354303589869,0.0145778228645951,0.0094339983107215,0.0241739266623249,0.0157424816437214,0.0099404171495139,5.28697987365253,1.0616851392434281,-0.0201633792327874,4.944357415765088,1.175765207306565,0.0425724108659275,0.0227733694545292,0.0137286558727888,0.0089312060967204,0.0229499788073227,0.0145623029771791,0.0087741462254588
